"","x"
"320",428986.115094352
"321",635484.177643205
"322",444235.503176451
"323",324781.575654126
"324",306342.021073809
"325",585412.582112778
"326",286120.528889974
"327",562723.690213224
"328",481102.024071316
"329",325543.232522238
"330",933315.462711486
"331",414254.560097479
"332",472280.623337136
"333",1179191.60686599
"334",324336.285491044
"335",354453.661831662
"336",263809.022398207
"337",464810.401402123
"338",572421.455922173
"339",319955.873649909
"340",560548.192969096
"341",271445.628312215
"342",391949.97748019
"343",340512.787091991
"344",300471.311440597
"345",336637.60539812
"346",324637.280212368
"347",252177.994795228
"348",348536.831874025
"349",498508.276383598
"350",421301.200696864
"351",275602.909951922
"352",390028.413877688
"353",344331.325319268
"354",368251.429035533
"355",363417.12823882
"356",457937.590588016
"357",384368.561311971
"358",343058.269143666
"359",328539.75087615
"360",295194.29558737
"361",457248.351008713
"362",1127594.93320816
"363",1725891.88001399
"364",317564.427778721
"365",162868.829229975
"366",857195.410308973
"367",319734.103050726
"368",335606.380770247
"369",655088.808102803
"370",484627.910640276
"371",301998.033083112
"372",381969.644685738
"373",494877.284146311
"374",664809.092419649
"375",443612.546771241
"376",1817994.2235655
"377",221295.663763554
"378",607137.391732369
"379",496494.523798757
"380",458655.760138779
"381",547255.925488567
"382",732587.332131262
"383",284562.158718185
"384",284562.158718185
"385",431160.513108749
"386",534593.774452647
"387",646633.378247802
"388",1074829.74044192
"389",285714.47945339
"390",752338.952436691
"391",1120325.30256516
"392",622041.514705726
"393",695995.659105599
"394",1222846.1002286
"395",499876.767191187
"396",354177.993914838
"397",178654.278493084
"398",464333.487144227
"399",797840.057099745
"400",305839.154351492
"401",881611.941799633
"402",212279.53097212
"403",547300.216571534
"404",200548.285351726
"405",230414.196986962
"406",818853.870352292
"407",227695.118768502
"408",742496.337676152
"409",627378.060641816
"410",319997.213559555
"411",381195.779910268
"412",663850.866699336
"413",313361.435736176
"414",192756.151345992
"415",1143520.09758438
"416",385020.08466963
"417",296515.521780595
"418",267889.103609146
"419",276497.274256998
"420",134112.022414313
"421",476709.987466451
"422",910093.907849402
"423",237886.794448091
"424",924356.268419802
"425",722583.666460501
"426",494608.397118089
"427",988403.379670315
"428",1269831.4261442
"429",953074.738670468
"430",621891.475696134
"431",835620.047771801
"432",346039.599920089
"433",661319.9683799
"434",617154.868595519
"435",241067.407566036
"436",710881.478148734
"437",444082.887486826
"438",899313.417430741
"439",486125.376335346
"440",199442.530336282
"441",550680.30540502
"442",246047.398283684
"443",671933.57035304
"444",1171982.27905545
"445",261391.321619592
"446",291917.566473216
"447",237036.77910342
"448",342626.453922402
"449",326180.474381568
"450",671281.405132572
"451",834666.179294776
"452",250157.524214151
"453",522255.784456509
"454",513906.216614911
"455",564986.774428933
"456",422582.606058647
"457",215256.877363319
"458",732500.871098982
"459",784532.420805545
"460",266473.684227528
"461",1006050.39405066
"462",298081.381645619
"463",1218572.11047352
"464",617143.747338927
"465",463442.970167928
"466",551334.723198337
"467",302886.649253486
"468",289896.79424248
"469",194938.625674632
"470",771026.108738326
"471",776068.287247758
"472",273648.691437637
"473",268680.884747991
"474",848557.42624782
"475",391713.70452661
"476",467218.173362661
"477",363549.778196208
"478",407773.022836328
"479",288823.462706854
"480",446591.592017573
"481",277517.076227974
"482",285103.044363746
"483",587771.379252673
"484",553114.726385063
"485",387704.86447487
"486",564121.76538082
"487",519958.571009669
"488",1153776.75002245
"489",296398.070760585
"490",442869.734976522
"491",336566.44817569
"492",484137.92005933
"493",179908.149899771
"494",336047.214069017
"495",1514790.03088732
"496",283132.652263424
"497",301580.966546226
"498",1463894.90375451
"499",736730.886730909
"500",391122.0991706
"501",238054.569143726
"502",281974.818545105
"503",262980.401836554
"504",448105.87934036
"505",389186.096411476
"506",256084.598992409
"507",184141.855986276
"508",531585.577580604
"509",892151.341283831
"510",572198.409690117
"511",482966.355068726
"512",199772.612195879
"513",594606.498920334
"514",758271.664871755
"515",1149392.43514286
"516",1304672.3700205
"517",1304672.3700205
"518",338194.438455038
"519",250642.431459628
"520",328817.173725128
"521",549345.930806119
"522",382246.66970169
"523",551913.121178224
"524",612611.928490239
"525",381364.626740018
"526",269952.751236855
"527",481369.418812271
"528",416310.633929755
"529",1247842.06605869
"530",584363.712695741
"531",444080.940967288
"532",1290551.70509915
"533",850021.414261512
"534",851709.314638173
"535",706238.109258697
"536",373148.486993589
"537",967169.701914609
"538",587934.203308205
"539",361788.690251182
"540",444132.338775716
"541",553705.06009038
"542",312036.960206211
"543",439807.203421097
"544",719108.710326166
"545",1087868.7482235
"546",369283.394376172
"547",470425.123271235
"548",257173.346832115
"549",911945.523155699
"550",593865.612124004
"551",241950.835602631
"552",524281.519804799
"553",695783.734608604
"554",845316.260532814
"555",596335.884782519
"556",277515.343965607
"557",247436.996686163
"558",564287.959292126
"559",251982.200198118
"560",672568.748633773
"561",557378.335131619
"562",435318.269377508
"563",335241.978229873
"564",888895.722857342
"565",210342.064776723
"566",444389.629615319
"567",689507.274734859
"568",535403.387735545
"569",1162612.21062388
"570",364002.509961882
"571",379573.644927386
"572",636173.442016589
"573",316461.44777828
"574",432087.964813523
"575",348887.868571308
"576",267337.470803045
"577",565658.074592347
"578",336201.012268544
"579",948723.708695228
"580",285621.241771516
"581",624029.957467355
"582",339792.675787834
"583",702947.427591824
"584",499237.941881303
"585",557899.019199414
"586",475144.321053985
"587",283870.28893788
"588",911895.448062286
"589",319295.536968069
"590",248567.527199958
"591",28016.8487847968
"592",185277.361407996
"593",511172.577244606
"594",443173.743630351
"595",319005.445754047
"596",1241726.69759667
"597",476686.352125195
"598",624077.642832908
"599",580160.389202839
"600",850340.36244328
"601",692996.191502395
"602",646242.237967153
"603",562839.553678791
"604",281249.147022583
"605",406229.712628838
"606",771490.948751363
"607",154348.376402245
"608",462451.938551587
"609",268053.62482342
"610",505183.992958623
"611",1536594.67784598
"612",561388.6959942
"613",587220.724029526
"614",253034.566382517
"615",352533.666345101
"616",275958.927300435
"617",1217924.30378234
"618",200635.935317697
"619",433121.833228939
"620",539345.643792639
"621",894913.125717193
"622",285730.559613064
"623",435108.33954076
"624",299004.882314859
"625",449780.335843987
"626",729031.927967088
"627",431973.162118339
"628",849409.706180538
"629",440369.944381646
"630",505491.942705163
"631",433987.825630154
"632",245812.07738372
"633",502203.615053175
"634",233786.475134142
"635",485938.558834907
"636",597886.414942103
"637",555438.889397768
"638",446463.230069538
"639",180200.70320894
"640",443755.705847078
"641",226825.225289363
"642",400039.502069099
"643",373457.354292587
"644",352167.960339821
"645",356530.532709122
"646",1274924.20693708
"647",429345.890814678
"648",438774.592987837
"649",663134.005770016
"650",746115.512473401
"651",240925.515284819
"652",963015.294402173
"653",645714.068180926
"654",56805.7646556009
"655",939105.871255256
"656",307550.823707999
"657",250261.381564889
"658",401095.282533976
"659",379798.937649798
"660",381250.418406091
"661",372739.767829785
"662",420563.418387408
"663",518359.135220017
"664",311769.978912814
"665",231411.061613749
"666",228196.804988043
"667",254361.997976872
"668",651989.001415164
"669",489358.907435998
"670",448408.674082535
"671",558737.569839642
"672",482093.61889679
"673",1362100.21969713
"674",455106.679408389
"675",428654.482155426
"676",762056.829940103
"677",1362071.89533099
"678",161041.931354787
"679",399683.273669184
"680",442257.696569657
"681",295728.381018928
"682",206639.796180441
"683",997664.298787806
"684",537569.965655643
"685",394996.571357539
"686",765238.189512772
"687",468596.67064571
"688",240128.71399673
"689",596927.725882595
"690",346668.011716891
"691",441362.776554713
"692",1110691.0909705
"693",641051.681684872
"694",760991.39671267
"695",640858.508632988
"696",782407.126992678
"697",469616.897998029
"698",540171.645370009
"699",292056.387778186
"700",1731069.38529274
"701",708147.012043185
"702",1649989.60146191
"703",488262.377930227
"704",355627.522704511
"705",507582.482315256
"706",464589.497170395
"707",618772.90653729
"708",844997.856976507
"709",200839.971742011
"710",478330.310030042
"711",812024.769301502
"712",771599.481547301
"713",627318.3487653
"714",401281.663027621
"715",506340.890903897
"716",609959.483592024
"717",324833.810116207
"718",342461.656988545
"719",364684.258976774
"720",504658.428757265
"721",877906.891572051
"722",713149.865228426
"723",677369.659216996
"724",499510.184941829
"725",924248.813390408
"726",383335.364803712
"727",399769.467694804
"728",219693.982828109
"729",1125546.29612582
"730",467505.056093943
"731",522465.049505268
"732",349588.383243553
"733",668180.853044559
"734",1574172.37337106
"735",650728.561336598
"736",485272.564416796
"737",708296.77446722
"738",392132.749881613
"739",543869.435840218
"740",382606.641302127
"741",584956.773142869
"742",838800.676164865
"743",499580.044985613
"744",499290.411851628
"745",433102.826646768
"746",538082.024628089
"747",201815.932780997
"748",132943.618376882
"749",559224.79165606
"750",535108.68447453
"751",396942.918815495
"752",1780455.73562647
"753",996864.11221317
"754",352931.94935619
"755",938109.862814655
"756",309001.915774704
"757",577452.746772382
"758",710063.210745902
"759",411843.659894896
"760",413218.901773146
"761",436052.711639921
"762",265025.831723575
"763",442146.309056073
"764",235256.224331027
"765",334038.028306398
"766",334038.028306398
"767",303244.22617119
"768",666485.85740144
"769",297087.929550493
"770",1123791.80346428
"771",403841.004219265
"772",1093272.28615816
"773",967982.048128953
"774",337327.17403153
"775",244059.156831243
"776",410639.445329327
"777",469480.139806615
"778",999773.153395066
"779",603784.376007702
"780",313677.166978699
"781",346969.261039887
"782",545053.290893977
"783",424496.339930652
"784",221509.839082081
"785",201738.258807356
"786",395266.674054279
"787",468045.611195913
"788",538958.610821294
"789",280924.856947587
"790",741713.959348627
"791",361964.612140864
"792",758920.054465853
"793",1218289.60397312
"794",535463.513476372
"795",706470.445433468
"796",552246.346234751
"797",358821.337972509
"798",388883.800223697
"799",191711.693322397
"800",812115.77513289
"801",299830.613687744
"802",928866.024802261
"803",567112.692450151
"804",617015.500045642
"805",760654.633221873
"806",623930.675803829
"807",908793.464306919
"808",721789.580513564
"809",468668.021182693
"810",383595.01520859
"811",677256.709215123
"812",440684.52516179
"813",750505.366612943
"814",422662.053020485
"815",262395.975869318
"816",363866.44995715
"817",369587.96458109
"818",277081.367948982
"819",258292.474539042
"820",902894.214382676
"821",359818.708592715
"822",732706.276618202
"823",920715.693719451
"824",586244.363439643
"825",611488.1420169
"826",384733.206188471
"827",420940.903388023
"828",536702.891292058
"829",629153.965496314
"830",362221.568953808
"831",675664.85188947
"832",186227.119358263
"833",271643.535446051
"834",215520.093389669
"835",762264.259238759
"836",430133.736057495
"837",434005.189818651
"838",861822.254303731
"839",469353.230076167
"840",607731.095940327
"841",467019.249769637
"842",1360220.79420775
"843",2237515.2712311
"844",282303.008084509
"845",749628.802685245
"846",775414.866682167
"847",677428.507945266
"848",362913.200269317
"849",2044323.90511569
"850",302924.940888444
"851",151010.674140609
"852",413240.464573363
"853",313072.380399493
"854",424674.477825146
"855",492965.724934834
"856",338115.731304303
"857",321361.984020175
"858",499397.114550415
"859",263213.65390337
"860",824352.99979133
"861",366069.431357099
"862",291012.928497383
"863",526045.421051494
"864",413592.095970816
"865",307088.118139777
"866",1025719.55900518
"867",438251.635302817
"868",387773.859318509
"869",748033.396921494
"870",485980.859317523
"871",497841.348810997
"872",329611.776375823
"873",266149.584431299
"874",357473.046357899
"875",413884.893502052
"876",818974.272089889
"877",403045.430180081
"878",721759.497817843
"879",689259.985282338
"880",1383647.23377084
"881",1033635.96921683
"882",363799.579620862
"883",364869.331505883
"884",771368.897089831
"885",414159.397278195
"886",288743.760191292
"887",307288.390417147
"888",477792.946329921
"889",535909.594839374
"890",253742.393046713
"891",362415.307963798
"892",317593.865692922
"893",255662.858437166
"894",421017.828513457
"895",594986.432574745
"896",642301.422499514
"897",448433.806458589
"898",349170.858298346
"899",198220.666140772
"900",380916.514125085
"901",354875.980016145
"902",569337.340503223
"903",222018.214593622
"904",276239.897531194
"905",638330.665808349
"906",200983.088884517
"907",477554.623538434
"908",400912.373334938
"909",776015.038799199
"910",344266.564997347
"911",305513.744827509
"912",587533.568414651
"913",350930.667196279
"914",423622.285111853
"915",189590.571177054
"916",303185.998777682
"917",654507.332812182
"918",492677.104529812
"919",826837.359510357
"920",720397.815976252
"921",419924.229520184
"922",380234.609265385
"923",840852.732668415
"924",1596923.29608987
"925",601572.929667364
"926",277646.020945087
"927",470400.581328431
"928",626118.780043821
"929",317374.258795853
"930",336154.764998682
"931",1633149.71265305
"932",219319.798849662
"933",747885.482186146
"934",358428.904848196
"935",363325.631733143
"936",674824.703941075
"937",236531.435378668
"938",323300.442433906
"939",219649.359223736
"940",358021.154337428
"941",651796.181114207
"942",436488.514941907
"943",608970.527918637
"944",340249.637176329
"945",271854.627380734
"946",691023.580649418
"947",184609.778575491
"948",263814.96316815
"949",314958.851396095
"950",465561.427618281
"951",645813.228029631
"952",423791.686437421
"953",281200.344512161
"954",545442.197583644
"955",843478.645944065
"956",218925.501713736
"957",617727.140788014
"958",341147.187397879
"959",499347.414555651
"960",795893.088345105
"961",714232.195841019
"962",874571.772178814
"963",302023.04793951
"964",234934.938482618
"965",447335.288188554
"966",514655.362614719
"967",359850.614352215
"968",535799.301523398
"969",721812.144315763
"970",641822.734059738
"971",528466.627729742
"972",488805.587013652
"973",299856.517860216
"974",813179.717417446
"975",580359.746049218
"976",536469.51327274
"977",909865.461835396
"978",552077.007966841
"979",397060.259592349
"980",366986.300361529
"981",676007.168501712
"982",691858.341447566
"983",414640.995084751
"984",379343.188048281
"985",265370.967043027
"986",417071.794197011
"987",370086.941918533
"988",240175.87531351
"989",439450.816531438
"990",415065.342812396
"991",373883.842129691
"992",704583.220619225
"993",1358738.21705426
"994",268206.254753238
"995",446600.38459192
"996",498788.965111715
"997",676451.654499606
"998",787574.053743811
"999",518911.598618487
"1000",639674.404421467
"1001",464979.748420077
"1002",500919.076059927
"1003",339962.969666571
"1004",1324496.14430758
"1005",363521.921482281
"1006",536882.82162572
"1007",768635.618699373
"1008",927716.382026094
"1009",606057.728352413
"1010",597665.933055738
"1011",571078.019553568
"1012",207127.503584328
"1013",879715.495585425
"1014",392078.827778496
"1015",335292.74719579
"1016",624494.879089451
"1017",248108.485542687
"1018",187862.479564263
"1019",271141.321176799
"1020",467700.62890078
"1021",405003.665814041
"1022",643627.915784665
"1023",786221.433262891
"1024",797956.255738602
"1025",229833.841983324
"1026",177671.464134876
"1027",601826.748917837
"1028",205776.914919469
"1029",335789.220047305
"1030",429215.955745294
"1031",533774.510884723
"1032",421501.758976476
"1033",312410.274930707
"1034",753234.770379976
"1035",354621.445029127
"1036",639937.515988148
"1037",770425.390356802
"1038",361500.018902846
"1039",310221.593325079
"1040",417629.166793086
"1041",694433.043963344
"1042",567349.662743004
"1043",186664.529640957
"1044",382137.362400586
"1045",339124.949587344
"1046",676557.043579786
"1047",381608.564591087
"1048",341290.408605276
"1049",256498.596959977
"1050",839988.09213794
"1051",500569.029736821
"1052",447151.757717668
"1053",463467.992673905
"1054",482261.141413158
"1055",340797.017832722
"1056",436446.429174171
"1057",743874.491373972
"1058",509019.693876555
"1059",692810.4423137
"1060",546472.174399971
"1061",693266.683049684
"1062",1455485.47748473
"1063",499375.949543198
"1064",277125.057874398
"1065",656303.911696681
"1066",256092.469528492
"1067",274892.416201084
"1068",508259.415913411
"1069",661940.627096541
"1070",656536.346242113
"1071",1097940.13926713
"1072",228358.076691173
"1073",298857.034444554
"1074",221951.280505543
"1075",320634.005364697
"1076",666528.827426959
"1077",251829.344608687
"1078",798275.830981355
"1079",326449.566259977
"1080",307714.16076777
"1081",430873.586399446
"1082",348500.170587962
"1083",286398.941163687
"1084",415137.931763573
"1085",544150.822375332
"1086",262931.918048189
"1087",583308.918981417
"1088",645258.135943273
"1089",282793.841829598
"1090",404649.219316302
"1091",316960.973743753
"1092",328272.954786764
"1093",363073.956608182
"1094",510537.847090642
"1095",758905.164060128
"1096",480037.057872744
"1097",432978.789568185
"1098",263642.011049253
"1099",648753.529225086
"1100",275934.315543421
"1101",492319.404189349
"1102",372632.755510059
"1103",487014.822136916
"1104",486929.051059127
"1105",1660888.98959141
"1106",1217683.5154176
"1107",456563.139511604
"1108",334516.149008394
"1109",247316.536622727
"1110",959919.874436011
"1111",393693.041915773
"1112",541948.253061102
"1113",548921.990055684
"1114",627704.564696487
"1115",156092.765289714
"1116",544994.638122064
"1117",594778.95165957
"1118",317909.034006168
"1119",656948.632923209
"1120",940783.748720621
"1121",1713088.77606629
"1122",516923.716456637
"1123",337589.792149196
"1124",700461.607204653
"1125",248985.969457356
"1126",730431.260714824
"1127",246068.815661869
"1128",417470.473906422
"1129",493601.568014555
"1130",608845.732310443
"1131",607891.144579221
"1132",626205.040079779
"1133",269943.683919993
"1134",497114.342213345
"1135",476563.767094743
"1136",193808.31588087
"1137",718976.774672953
"1138",809443.390796483
"1139",488271.847808542
"1140",606464.385182251
"1141",244235.658493723
"1142",551904.471038902
"1143",323691.304483146
"1144",477642.516612287
"1145",504573.807581112
"1146",1195207.67288288
"1147",394348.470479493
"1148",101195.971717443
"1149",582936.520626709
"1150",619012.313535058
"1151",2933376.41157705
"1152",414388.875775984
"1153",547846.632109587
"1154",435794.025974766
"1155",245370.262432076
"1156",370269.856635817
"1157",621948.110019277
"1158",209028.170470387
"1159",896176.713192739
"1160",240083.464060875
"1161",416000.579121003
"1162",412689.460079365
"1163",855625.092513714
"1164",363563.455294011
"1165",243801.4496305
"1166",444748.138876061
"1167",292049.542868329
"1168",285258.257349464
"1169",205695.77704968
"1170",395275.086587796
"1171",621114.770076157
"1172",669518.379741985
"1173",288744.830786451
"1174",940047.646518055
"1175",509132.515621489
"1176",214084.460143117
"1177",1787728.01575842
"1178",472291.217148897
"1179",226327.859126249
"1180",303911.651708662
"1181",467535.218791403
"1182",613813.170582092
"1183",327085.686271691
"1184",242429.548432329
"1185",736964.246847454
"1186",783119.010959669
"1187",390166.367449978
"1188",438836.443167399
"1189",618148.345053472
"1190",270880.032398222
"1191",349470.401662702
"1192",685761.279294742
"1193",257104.312574309
"1194",280750.9977337
"1195",691998.146076309
"1196",237289.511174981
"1197",557707.788087551
"1198",662920.859472468
"1199",259699.142178004
"1200",535928.203144604
"1201",288153.503465107
"1202",728602.158654538
"1203",345177.262059073
"1204",216032.807606109
"1205",410856.081237631
"1206",292362.884544447
"1207",894768.419480154
"1208",183955.63932091
"1209",627097.889927649
"1210",239510.909615375
"1211",916945.665059271
"1212",269927.115685307
"1213",273961.572359182
"1214",253666.757577895
"1215",730239.621104087
"1216",314553.176000453
"1217",267073.295349029
"1218",237226.681283389
"1219",622308.588457348
"1220",1240973.54731268
"1221",584685.117045549
"1222",537692.262625517
"1223",476905.650112284
"1224",530859.747320292
"1225",327122.955999185
"1226",284510.048162651
"1227",253642.002631798
"1228",421392.731603103
"1229",386918.82347582
"1230",931916.267913391
"1231",414038.989886271
"1232",560616.8130975
"1233",467134.985200302
"1234",341521.305256352
"1235",259015.756448675
"1236",278303.143610412
"1237",922580.999513498
"1238",697761.888686416
"1239",550255.874379718
"1240",1050781.97006328
"1241",816064.417347321
"1242",212888.551791657
"1243",1238856.42333527
"1244",278776.511421664
"1245",377604.988574552
"1246",231520.287685163
"1247",296092.098406475
"1248",144274.194087731
"1249",214580.340758586
"1250",321307.899463706
"1251",302153.22879871
"1252",469511.152993139
"1253",471010.514766896
"1254",413396.972848152
"1255",413981.587477387
"1256",276741.319759834
"1257",591155.227672516
"1258",300531.585662836
"1259",896747.842675332
"1260",544814.296480905
"1261",482501.892819942
"1262",492667.19694339
"1263",116236.392522548
"1264",467792.107767999
"1265",495394.959970003
"1266",2436428.54166697
"1267",3170171.46017785
"1268",235676.324090222
"1269",237755.981022824
"1270",736152.789468375
"1271",1283326.16044761
"1272",512802.021847331
"1273",264576.187482771
"1274",1214990.80585941
"1275",564526.328196572
"1276",566001.509832782
"1277",290664.527271268
"1278",537982.459870308
"1279",220732.548103627
"1280",501940.26591468
"1281",596906.781874603
"1282",413299.277012102
"1283",235100.432273478
"1284",1122710.11603136
"1285",667886.026840975
"1286",395360.589233021
"1287",488843.626016401
"1288",565298.056915259
"1289",615869.836354867
"1290",435267.891490869
"1291",670703.089436613
"1292",440356.248544908
"1293",355040.403782058
"1294",476841.262227085
"1295",631497.524812821
"1296",378868.172315049
"1297",452185.767626595
"1298",164477.196574607
"1299",477092.482250893
"1300",300465.919286766
"1301",323654.395998092
"1302",607286.556877045
"1303",385207.245098305
"1304",644117.414615381
"1305",575282.766808285
"1306",403504.567939409
"1307",365772.503480243
"1308",542202.54463775
"1309",303439.542959603
"1310",423824.459509425
"1311",825957.414304662
"1312",309657.048588694
"1313",415197.906989653
"1314",672332.326226359
"1315",304785.045174614
"1316",365287.521675139
"1317",319994.61232513
"1318",359730.924021302
"1319",574274.282893236
"1320",966304.294860995
"1321",374859.215012944
"1322",508580.294884498
"1323",342851.252195793
"1324",951240.572297041
"1325",727243.822079062
"1326",801913.35276994
"1327",297428.174138828
"1328",500000.558226354
"1329",735345.169697285
"1330",464137.409284613
"1331",1411661.97135121
"1332",511237.431606223
"1333",489836.23790805
"1334",277795.754581119
"1335",563685.373592143
"1336",309991.322414735
"1337",900843.729905338
"1338",273512.251556947
"1339",533281.253872137
"1340",469662.985176089
"1341",317098.838990783
"1342",556278.538896247
"1343",413091.521783846
"1344",583299.394019733
"1345",1090446.34945785
"1346",402490.234173827
"1347",501424.257646044
"1348",374713.993417334
"1349",505119.25713381
"1350",477905.830202688
"1351",394828.279932145
"1352",596841.304656776
"1353",641111.126863675
